,post_id,title,category,score,num_comments,author,collected_at
0,47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,39,17,walterbell,2026-04-13T09:47:58.314777
1,47719490,I gave every train in New York an instrument,technology,233,43,joshuawolk,2026-04-13T09:47:58.316318
2,47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,713,276,littlecranky67,2026-04-13T09:47:58.316362
3,47738978,"We have a 99% email reputation, but Gmail disagrees",technology,195,184,em-bee,2026-04-13T09:47:58.316377
4,47733217,Exploiting the most prominent AI agent benchmarks,technology,500,130,Anon84,2026-04-13T09:47:58.316434
5,47741889,Show HN: Claudraband – Claude Code for the Power User,technology,100,35,halfwhey,2026-04-13T09:47:58.316468
6,47741531,"Bouncer: Block ""crypto"", ""rage politics"", and more from your X feed using AI",technology,44,70,steveharing1,2026-04-13T09:47:58.316490
7,47744255,I ran Gemma 4 as a local model in Codex CLI,technology,18,7,dvaughan,2026-04-13T09:47:58.316523
8,47745120,Tech valuations are back to pre-AI boom levels,technology,125,33,akyuu,2026-04-13T09:47:58.316531
9,47738864,Why AI Sucks at Front End,technology,74,80,tobr,2026-04-13T09:47:58.316538
10,47743700,European AI. A playbook to own it,technology,158,96,hjouneau,2026-04-13T09:47:58.316551
11,47743819,Basics of Radar Technology,technology,8,0,_Microft,2026-04-13T09:47:58.316575
12,47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,841,468,tradertef,2026-04-13T09:47:58.316601
13,47744060,Navy to use underwater drones to help clear Iranian mines from Strait of Hormuz,technology,26,7,delichon,2026-04-13T09:47:58.316690
14,47734878,High-Level Rust: Getting 80% of the Benefits with 20% of the Pain,technology,66,81,maxloh,2026-04-13T09:47:58.316715
15,47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,technology,168,70,smokel,2026-04-13T09:47:58.316769
16,47732402,The APL programming language source code (2012),technology,79,27,tosh,2026-04-13T09:47:58.316801
17,47741544,Jim Allchin to Gates and Ballmer on the state of quality at Microsoft (2004),technology,8,4,Austin_Conlon,2026-04-13T09:47:58.316835
18,47727960,Show HN: Pardonned.com – A searchable database of US Pardons,technology,483,262,vidluther,2026-04-13T09:47:58.316908
19,47735405,Software Preservation Group: C++ History Collection,technology,41,3,quuxplusone,2026-04-13T09:47:58.316924
20,47729634,Now is the best time to write code by hand,technology,107,50,nickgreg,2026-04-13T09:47:58.316977
21,47730407,South Korea introduces universal basic mobile data access,technology,406,122,saikatsg,2026-04-13T09:47:58.317045
22,47730194,Cirrus Labs to join OpenAI,technology,279,139,seekdeep,2026-04-13T09:47:58.317065
23,47673171,How Complex is my Code?,technology,172,45,speckx,2026-04-13T09:47:58.317091
24,47745714,Javier Milei's bribery scandal may have derailed Argentina's crypto investment,technology,9,0,kasperni,2026-04-13T09:47:58.317110
25,47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,21,11,bookofjoe,2026-04-13T09:48:00.318572
26,47745230,Sam Altman's home targeted in second attack,worldnews,95,167,babelfish,2026-04-13T09:48:00.318744
28,47728653,"France's government is ditching Windows for Linux, says US tech a strategic risk",worldnews,489,286,pabs3,2026-04-13T09:48:00.319181
29,47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,432,273,neversaydie,2026-04-13T09:48:00.319349
30,47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,284,135,jkl5xx,2026-04-13T09:48:00.319963
31,47679121,Project Glasswing: Securing critical software for the AI era,worldnews,1538,834,Ryan5453,2026-04-13T09:48:00.320386
32,47674473,Stewart Brand on how progress happens,worldnews,33,7,bookofjoe,2026-04-13T09:48:00.320477
33,47695012,USB for Software Developers: An introduction to writing userspace USB drivers,worldnews,408,48,WerWolv,2026-04-13T09:48:00.321481
34,47729994,Polymarket gamblers betting millions on war,worldnews,157,126,sandebert,2026-04-13T09:48:00.321634
35,47695666,Show HN: Druids – Build your own software factory,worldnews,64,15,etherio,2026-04-13T09:48:00.321676
36,47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,617,262,zixuanlimit,2026-04-13T09:48:00.321735
37,47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-13T09:48:00.322175
38,47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-13T09:48:00.322319
39,47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-13T09:48:00.323873
40,47680124,IPv6 is the only way forward,worldnews,104,338,quaintdev,2026-04-13T09:48:00.324192
41,47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,116,26,rryan,2026-04-13T09:48:00.324716
42,47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,125,19,ductionist,2026-04-13T09:48:00.325149
43,47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,258,69,tlhunter,2026-04-13T09:48:00.325198
44,47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,38,breve,2026-04-13T09:48:00.325565
45,47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-13T09:48:00.325656
46,47737642,Lawyer behind AI psychosis cases warns of mass casualty risks,worldnews,13,6,mentalgear,2026-04-13T09:48:00.325690
47,47665890,War on Raze,worldnews,33,18,tosh,2026-04-13T09:48:00.325786
48,47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,319,90,player_piano,2026-04-13T09:48:00.326230
49,47734106,AI Is Tipping the Scales Toward Hackers After Mythos Release,worldnews,15,7,thywis,2026-04-13T09:48:00.326330
50,47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,12,0,jscalo,2026-04-13T09:48:02.327300
51,47741460,Investigating How Long-Distance Couples Use Digital Games to Facilitate Intimacy,sports,77,21,radeeyate,2026-04-13T09:48:02.327870
52,47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,611,152,iceberger2001,2026-04-13T09:48:02.329071
53,47698111,Bevy game development tutorials and in-depth resources,sports,136,54,GenericCanadian,2026-04-13T09:48:02.329570
54,47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,235,53,joko42,2026-04-13T09:48:02.329899
55,47731707,"Rockstar Games Hacked, Hackers Threaten a Massive Data Leak If Not Paid Ransom",sports,109,59,c420,2026-04-13T09:48:02.330585
57,47663743,"Show HN: Moon simulator game, ray-casting",sports,114,25,JKCalhoun,2026-04-13T09:48:02.331843
58,47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,260,274,speckx,2026-04-13T09:48:02.332784
59,47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,5,russellharper,2026-04-13T09:48:02.332937
60,47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,118,36,pruz,2026-04-13T09:48:02.333007
61,47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,9,2,choult,2026-04-13T09:48:02.333069
